SFmax_5721442,TXmin_GK48617,RHmax_GK48617,RFmax_6022062,RFmax_6122064,RFmax_KB48615,RFmax_6021010,RFmax_6120014,RFmax_6121001,RFd50mm_5920012,RHd10p_GK48617,RFd95p_6022001,RHd90p_KB48615,TXd90p_GK48617,TNd90p_GK48617,Cases
0.28943503,0.556603774,0.852941176,0.008314437,0.01054339,0.101256467,0.233848954,0.010691244,0.140495868,0.428571429,0.857142857,0.4,0.428571429,0.285714286,0.142857143,High
0.115899297,0.726415094,0.81092437,0.004535147,0.002027575,0.077605322,0.074431301,0.138248848,0.015610652,0.142857143,0.714285714,0,0.142857143,0,0.285714286,Low
0.051788009,0.698113208,0.978991597,0.171201814,0.141930251,0.090169993,0.029299363,0.000552995,0.388429752,0.285714286,0,0,0.285714286,0.142857143,0.428571429,Low
0.01933275,0.443396226,0.495798319,0.004724112,0.01054339,0.44789357,0.026569609,0.006820276,0.096418733,0,0.142857143,0,0,0,0.142857143,Low
0.026504228,0.679245283,0.478991597,0.279100529,0.562449311,0.15668884,0.024567789,0.034101382,0.052341598,0.142857143,0,0.2,0.571428571,0.285714286,0.142857143,Low
0.150309432,0.58490566,0.214285714,0.015495087,0.066504461,0.155949741,0.313921747,0.000737327,0,0.285714286,0.285714286,0,0.428571429,0.714285714,0.428571429,High
0.150196028,0.641509434,0.084033613,0.026455026,0.087591241,0.424981523,0.133212011,0.244423963,0,0.142857143,0.142857143,0,0.142857143,0.714285714,0.428571429,Low
0.02087181,0.698113208,0.096638655,0.000944822,0,0.057649667,0,0,0.003060912,0,0,0,0.428571429,0.428571429,0.285714286,Low
0.013937941,0.471698113,0.651260504,0,0,0.036215817,0.000909918,0,0.039791858,0,0.285714286,0,0.285714286,0.142857143,0.428571429,Low
0.010714016,0.801886792,0.638655462,0,0.02027575,0.033998522,0,0,0.082950719,0,0.142857143,0,0,0.285714286,0.571428571,High
0.008089514,0.764150943,0.302521008,0.015117158,0.046634225,0.059127864,0.000909918,0,0.021426385,0,0.428571429,0,0,0,0.142857143,High
0.006426249,0.641509434,0.201680672,0.029478458,0.172343877,0,0,0,0.013774105,0,0,0,0,0.285714286,0.142857143,High
0.005772824,0.669811321,0.382352941,0.006613757,0,0,0,0,0.040097949,0,0,0,0,0.571428571,0,High
0.005508214,0.518867925,0.319327731,0.014172336,0.0405515,0.016999261,0,0.000921659,0.004591368,0,0.714285714,0,0,0.285714286,0,Low
0.004087959,0.245283019,0.600840336,0.023620559,0.105839416,0,0.064058235,0,0.058157331,0.142857143,0.285714286,0,0,0.142857143,0.142857143,Low
0.016319433,0.518867925,0.298319328,0.043461829,0.0324412,0.002217295,0.007097361,0,0.02020202,0,0.142857143,0,0,0,0,High
0.004509175,0.188679245,0.331932773,0.001133787,0.006893755,0,0.010009099,0,0.07805326,0,0.142857143,0,0,0.285714286,0,High
0.008148916,0.698113208,0.357142857,0.020030234,0.028791565,0,0,0,0.010713193,0,0.571428571,0,0,0,0,High
0.006923069,0.018867925,0.319327731,0.049319728,0.04460665,0,0,0.016774194,0.012243649,0,0.142857143,0,0,0,0,Low
0.00669086,0.254716981,0.193277311,0.002834467,0.034468775,0.080561715,0,0.013824885,0.033363942,0,0.285714286,0,0,0,0,Low
0.013052306,0.198113208,0.239495798,0.000944822,0.034468775,0.06947524,0.003639672,0.026728111,0.102540557,0,0.285714286,0,0,0,0.142857143,Low
0.006987871,0.094339623,0.369747899,0.048185941,0.0324412,0.03473762,0,0.000921659,0.024487297,0,0.571428571,0,0,0,0,Low
0.004789986,0.320754717,0.281512605,0.047808012,0.161394972,0.000739098,0.01455869,0.02764977,0.024487297,0.285714286,0.285714286,0,0,0,0,High
0.008996749,0.216981132,0.138655462,0.011337868,0.070965126,0,0.057324841,0.008294931,0.020508111,0.142857143,0.428571429,0,0,0,0.285714286,High
0.009677175,0.330188679,0.352941176,0.030234316,0.042579075,0,0.015468608,0.0359447,0.081114172,0,0,0,0,0,0,High
0.007803303,0.169811321,0.512605042,0.018896447,0.002027575,0.000739098,0.002729754,0.075576037,0.092133456,0,0.571428571,0.2,0,0,0,Low
0.012868699,0.264150943,0.386554622,0.024565382,0.152068127,0.127124908,0.060600546,0.000921659,0.149066422,0.285714286,0,0.4,0,0,0,High
0.008467529,0.311320755,0.323529412,0.078609221,0.111922141,0.010347376,0.038216561,0.02764977,0.064279155,0,0.285714286,0,0,0,0,High
0.002932314,0.216981132,0.369747899,0.071617536,0.131792376,0.196600148,0,0.005529954,0.093663912,0,0,0,0,0,0,High
0.002079081,0.5,0.571428571,0.031179138,0.075020276,0.162601626,0.036396724,0.044239631,0.001530456,0,0,0,0.142857143,0,0,High
0.002997116,0.556603774,0.365546218,0.00888133,0.030413625,0.021433851,0.083712466,0.021198157,0.153045608,0.142857143,0,0,0,0,0,High
0.003304928,0.556603774,0.205882353,0.002834467,0.002027575,0.210643016,0.119199272,0.007373272,0.001224365,0.142857143,0,0,0,0,0,High
0.002775708,0.58490566,0.415966387,0.068972033,0.062043796,0.052475979,0.106824386,0.000921659,0.03520049,0.142857143,0,0,0,0,0,High
0.000891035,0.575471698,0.357142857,0.000944822,0.006082725,0.036954915,0.037306642,0,0.027548209,0.142857143,0,0,0,0,0,High
0.000804631,0.575471698,0.386554622,0.036848073,0.02838605,0.118994826,0.021474067,0,0.04285277,0.142857143,0,0.2,0.285714286,0,0,High
0.003218525,0.5,0.567226891,0.021730915,0.02027575,0.144124169,0.037306642,0,0.104683196,0.142857143,0,0,0.285714286,0,0,Low
0.008705138,0.688679245,0.764705882,0.056878307,0.079075426,0.033259424,0.067879891,0.006451613,0.101316192,0.142857143,0,0,0,0,0,High
0.006204841,0.783018868,0.592436975,0.03968254,0.065287916,0.056910569,0.010737034,0,0.167125803,0,0,0,0,0,0,High
0.007349685,0.896226415,0.806722689,0.037792895,0.04379562,0.101995565,0.097179254,0.003686636,0.125497398,0.142857143,0,0,0.285714286,0,0,High
0.015223191,0.886792453,0.382352941,0.023809524,0.146390916,0.155949741,0.106460419,0.002764977,0.033670034,0.142857143,0,0,0.428571429,0,0,High
0.009828381,0.924528302,0.915966387,0.028533636,0.150446067,0.087583149,0.046041856,0,0.440159167,0.142857143,0,0,0.142857143,0,0,High
0.006204841,0.971698113,0.773109244,0.009259259,0.03892944,0.088691796,0.072247498,0.021198157,0.158861341,0.285714286,0,0.2,0.285714286,0,0,High
0.006809664,0.943396226,0.861344538,0.23185941,0.48296837,0.016999261,0.101910828,0.020645161,0.207835935,0.285714286,0,0.2,0,0,0,High
0.015341995,0.405660377,0.890756303,0.091080877,0.163422547,0.171470806,0.08189263,0.009400922,0.411080502,0.571428571,0.285714286,0,0,0,0,High
0.016465239,0.764150943,0.630252101,0.08446712,0.135036496,0.026607539,0.029117379,0.182119816,0.056320784,0,0.285714286,0.2,0,0,0,High
0.0128849,0.830188679,0.676470588,0.236016629,0.50567721,0.155210643,0.065150136,0.098986175,0.044689317,0.285714286,0.428571429,0.2,0,0,0,High
0.015363596,0.745283019,0.693277311,0.009637188,0.077453366,0.147080562,0.040946315,0.114470046,0.011631466,0.428571429,0.285714286,0,0,0,0,High
0.012058668,0.839622642,0.781512605,0.028911565,0.064071371,0.005912786,0.01455869,0.208847926,0.069482706,0,0.142857143,0,0,0,0.142857143,High
0.015352796,0.754716981,0.453781513,0.020408163,0.02514193,0.093126386,0.119745223,0.037050691,0.055708601,0.571428571,0.714285714,0.6,0,0,0.142857143,High
0.011934463,0.716981132,0.24789916,0.140778534,0.085969181,0.154471545,0.087716106,0.002396313,0,0.428571429,0.714285714,0.6,0,0,0,High
0.047484042,0.754716981,0.5,0.09712774,0.090835361,0.312638581,0.304822566,0.014562212,0.006427916,0.428571429,0.714285714,0,0.142857143,0,0,High
0.025116375,0.632075472,0.327731092,0,0.002027575,0.040650407,0.091901729,0.140829493,0,0.285714286,0.428571429,0,0.285714286,0,0.142857143,High
0.013430321,0.783018868,0.281512605,0.015495087,0.049067315,0.098300074,0.020018198,0.049032258,0.003060912,0,0.142857143,0.4,0.142857143,0.142857143,0.142857143,High
0.009882383,0.490566038,0.235294118,0.000377929,0,0.194382853,0.027843494,0,0.001530456,0,0.142857143,1,0,0.571428571,0.714285714,High
0.331378457,0.698113208,0.12605042,0,0,0.534368071,0.758507734,0.001843318,0,0.857142857,1,0,0.571428571,0.714285714,0.857142857,High
1,0.688679245,0.088235294,0.000944822,0.002027575,1,0.34722475,0,0,0.857142857,0.857142857,0,1,1,0.857142857,High
