WLmean_5721442,SFmean_5721442,RFmean_5920012,SFmax_5721442,RHmean_GK48617,TXmin_GK48617,RFmean_6023001,RHmax_GK48617,RFmax_6022062,RFmean_5922001,RFmax_6021010,RFmax_KB48615,RFmean_6021010,RFmax_6122064,RFmax_6121001,RFmax_6120014,RFd5p.d95p_5921009,RFd50mm_5920012,RFd5p.d95p_6022001,RFd1mm.d50mm_6120014,RFd1mm.d50mm_6021013,RFd5p.d95p_6121067,TMd10p.d90p_KB48615,TXd10p.d90p_KB48615,RFd5p.d95p_KB48615,RHd10p_GK48617,RFd5p.d95p_6121015,RFd5p.d95p_6122064,RHd10p.d90p_KB48615,TMd10p.d90p_GK4861,TNd10p.d90p_GK48617,RFd1mm.d50mm_6121001,RFd1mm.d50mm_6021060,RFd1mm.d50mm_6022062,RFd95p_6022001,RHd90p_KB48615,TNd23_KB48615,TNd90p_KB48615,TNd23.d34_KB48615,TNd10p_GK48617,TXd23.d34_GK48617,RHd10p_KB48615,TXd90p_GK48617,TNd90p_GK48617,Cases
0.07939595,0.008459758,0.017471928,0.006890667,0.622181596,0.716981132,0.128094885,0.840336134,0.390400605,0.128403665,0.04822566,0.227642276,0.046983185,0.666666667,0.004591368,0.019354839,1,0,0.714285714,0.428571429,0.428571429,0.428571429,0.285714286,0.428571429,0.285714286,0,0.571428571,0.428571429,1,1,0.714285714,0.142857143,0.285714286,0.428571429,0,0,0.142857143,0,0.857142857,0.285714286,1,0,0,0,Low
0.062578652,0.00613185,0.015142338,0.006059035,0.724558196,0.735849057,0.125426242,0.911764706,0.017384732,0.045941412,0.040764331,0.049519586,0.038328388,0.069748581,0.261707989,0.053456221,0.714285714,0,0.285714286,0.142857143,0.428571429,0.571428571,1,0.285714286,0.857142857,0,0.571428571,0.571428571,1,1,0.571428571,0.571428571,0.571428571,0.428571429,0,0,0.285714286,0,0.571428571,0.285714286,1,0,0,0,Low
0.082713648,0.009010763,0.004659181,0.007965309,0.748324193,0.716981132,0.024462565,0.760504202,0.075774754,0.027745516,0.006369427,0.040650407,0.004327399,0.064882401,0.052035507,0.534009217,0.428571429,0,0.714285714,0,0.428571429,1,1,1,1,0,0.714285714,1,1,1,0.714285714,1,1,1,0.2,0,0,0,0.857142857,0.285714286,1,0,0,0,Low
0.129275827,0.017995568,0.036807529,0.019883571,0.852528946,0.537735849,0.005189029,0.861344538,0.130952381,0.0295522,0.038762511,0.070214339,0.044386746,0.362124899,0.285277013,0.023778802,0.857142857,0,1,0.142857143,0.428571429,0.857142857,1,1,0.571428571,0,0.428571429,0.857142857,1,0.571428571,0.428571429,0.571428571,0.571428571,0.714285714,0,0,0.285714286,0,0.714285714,0.285714286,1,0,0,0,Low
0.105594326,0.012795826,0.022829986,0.009774379,0.613650213,0.669811321,0.18250556,0.878151261,0.029289494,0.033036521,0.06132848,0.091648189,0.082220574,0.089618816,0.434649526,0.129953917,0.714285714,0,0.714285714,0.571428571,0.428571429,0.285714286,1,1,0.142857143,0,0.428571429,0.142857143,1,1,0.857142857,0.142857143,0.428571429,0.285714286,0,0,0.142857143,0,0.857142857,0.142857143,1,0,0,0,Low
0.074362201,0.007646819,0.003680753,0.005340807,0.880560634,0.679245283,0.062120089,0.857142857,0.196712018,0.06387921,0.009099181,0.10421286,0.006676558,0.236415247,0.08815427,0.172165899,0.285714286,0,0.285714286,0,0.428571429,1,0.857142857,0.714285714,0.857142857,0,1,0.714285714,0.714285714,0.714285714,0.714285714,0.857142857,1,1,0,0,0.285714286,0,0.571428571,0.285714286,1,0,0,0,Low
0.100102963,0.011810624,0.019615152,0.009007549,0.876904326,0.783018868,0.068791698,0.840336134,0.225056689,0.016131114,0.079344859,0.077605322,0.083086053,0.472830495,0.093357821,0.045529954,0.857142857,0,0.857142857,0,0.571428571,0.571428571,1,1,0.714285714,0,0.714285714,0.857142857,1,1,0.571428571,0.571428571,0.285714286,0.428571429,0,0,0.428571429,0,0.571428571,0.285714286,1,0,0,0,Low
0.102276627,0.012633002,0.001397754,0.013100908,0.778184034,0.735849057,0.04595997,0.886554622,0.048941799,0.016131114,0.001819836,0.048780488,0.0012364,0.172343877,0.019283747,0.258064516,0.285714286,0,0.714285714,0,1,0.142857143,1,1,0.428571429,0,0.285714286,0.142857143,1,1,0.857142857,0.285714286,0.142857143,0.142857143,0,0,0,0,1,0.142857143,1,0,0,0,Low
0.080311177,0.008581286,0.012346829,0.007252481,0.788543571,0.528301887,0.024907339,0.74789916,0.108843537,0.294360563,0.017652411,0.206947524,0.015454995,0.095296026,0.220079584,0.170506912,0.142857143,0,0.428571429,0.428571429,0.428571429,0.714285714,1,1,0.571428571,0,1,0.714285714,1,0.857142857,0.571428571,0.714285714,0.571428571,0.714285714,0,0,0.142857143,0,0.714285714,0.428571429,1,0,0,0,Low
0.13041986,0.018064002,0.000931836,0.018517318,0.68190128,0.641509434,0.05841364,0.647058824,0.01606198,0.602658407,0.01255687,0.090169993,0.009272997,0.003649635,0.002142639,0,0.142857143,0,0.571428571,0,0.285714286,0.285714286,1,1,0.285714286,0,0.857142857,0.285714286,1,0.857142857,0.428571429,0,0,0,0,0.428571429,0.571428571,0,0.428571429,0.571428571,1,0,0.142857143,0,Low
